Graphe Arbre Minimal comprenant 561 noeuds et 52078 aretes
  Noeud 278 (id 278) (donnees: (268.0, 206.0))
  Noeud 279 (id 279) (donnees: (255.0, 185.0))
  Noeud 280 (id 280) (donnees: (237.0, 257.0))
  Noeud 257 (id 257) (donnees: (456.0, 209.0))
  Noeud 281 (id 281) (donnees: (187.0, 299.0))
  Noeud 282 (id 282) (donnees: (159.0, 281.0))
  Noeud 283 (id 283) (donnees: (131.0, 268.0))
  Noeud 284 (id 284) (donnees: (139.0, 247.0))
  Noeud 285 (id 285) (donnees: (160.0, 250.0))
  Noeud 286 (id 286) (donnees: (187.0, 268.0))
  Noeud 258 (id 258) (donnees: (476.0, 185.0))
  Noeud 287 (id 287) (donnees: (245.0, 230.0))
  Noeud 288 (id 288) (donnees: (243.0, 206.0))
  Noeud 289 (id 289) (donnees: (242.0, 175.0))
  Noeud 290 (id 290) (donnees: (252.0, 161.0))
  Noeud 27 (id 27) (donnees: (913.0, 532.0))
  Noeud 291 (id 291) (donnees: (273.0, 158.0))
  Noeud 292 (id 292) (donnees: (265.0, 134.0))
  Noeud 448 (id 448) (donnees: (252.0, 776.0))
  Noeud 293 (id 293) (donnees: (248.0, 134.0))
  Noeud 294 (id 294) (donnees: (233.0, 151.0))
  Noeud 295 (id 295) (donnees: (290.0, 147.0))
  Noeud 296 (id 296) (donnees: (290.0, 123.0))
  Noeud 154 (id 154) (donnees: (554.0, 546.0))
  Noeud 297 (id 297) (donnees: (268.0, 110.0))
  Noeud 298 (id 298) (donnees: (243.0, 116.0))
  Noeud 260 (id 260) (donnees: (427.0, 158.0))
  Noeud 299 (id 299) (donnees: (224.0, 116.0))
  Noeud 300 (id 300) (donnees: (233.0, 89.0))
  Noeud 301 (id 301) (donnees: (265.0, 79.0))
  Noeud 302 (id 302) (donnees: (298.0, 86.0))
  Noeud 155 (id 155) (donnees: (547.0, 512.0))
  Noeud 303 (id 303) (donnees: (291.0, 65.0))
  Noeud 304 (id 304) (donnees: (303.0, 44.0))
  Noeud 261 (id 261) (donnees: (396.0, 178.0))
  Noeud 305 (id 305) (donnees: (265.0, 44.0))
  Noeud 306 (id 306) (donnees: (248.0, 44.0))
  Noeud 307 (id 307) (donnees: (227.0, 44.0))
  Noeud 308 (id 308) (donnees: (255.0, 10.0))
  Noeud 156 (id 156) (donnees: (537.0, 525.0))
  Noeud 309 (id 309) (donnees: (378.0, 144.0))
  Noeud 310 (id 310) (donnees: (335.0, 144.0))
  Noeud 451 (id 451) (donnees: (250.0, 721.0))
  Noeud 311 (id 311) (donnees: (315.0, 130.0))
  Noeud 312 (id 312) (donnees: (306.0, 116.0))
  Noeud 313 (id 313) (donnees: (345.0, 110.0))
  Noeud 314 (id 314) (donnees: (366.0, 116.0))
  Noeud 157 (id 157) (donnees: (525.0, 549.0))
  Noeud 315 (id 315) (donnees: (388.0, 116.0))
  Noeud 316 (id 316) (donnees: (406.0, 137.0))
  Noeud 452 (id 452) (donnees: (180.0, 714.0))
  Noeud 317 (id 317) (donnees: (409.0, 116.0))
  Noeud 318 (id 318) (donnees: (374.0, 92.0))
  Noeud 319 (id 319) (donnees: (364.0, 68.0))
  Noeud 320 (id 320) (donnees: (320.0, 92.0))
  Noeud 158 (id 158) (donnees: (507.0, 549.0))
  Noeud 321 (id 321) (donnees: (333.0, 51.0))
  Noeud 322 (id 322) (donnees: (363.0, 48.0))
  Noeud 264 (id 264) (donnees: (363.0, 154.0))
  Noeud 323 (id 323) (donnees: (635.0, 646.0))
  Noeud 324 (id 324) (donnees: (615.0, 649.0))
  Noeud 325 (id 325) (donnees: (610.0, 622.0))
  Noeud 326 (id 326) (donnees: (598.0, 604.0))
  Noeud 33 (id 33) (donnees: (830.0, 457.0))
  Noeud 327 (id 327) (donnees: (550.0, 622.0))
  Noeud 328 (id 328) (donnees: (554.0, 653.0))
  Noeud 454 (id 454) (donnees: (209.0, 787.0))
  Noeud 329 (id 329) (donnees: (580.0, 646.0))
  Noeud 330 (id 330) (donnees: (631.0, 683.0))
  Noeud 331 (id 331) (donnees: (583.0, 673.0))
  Noeud 332 (id 332) (donnees: (607.0, 735.0))
  Noeud 34 (id 34) (donnees: (825.0, 484.0))
  Noeud 333 (id 333) (donnees: (555.0, 683.0))
  Noeud 334 (id 334) (donnees: (547.0, 721.0))
  Noeud 455 (id 455) (donnees: (160.0, 787.0))
  Noeud 335 (id 335) (donnees: (583.0, 762.0))
  Noeud 336 (id 336) (donnees: (563.0, 745.0))
  Noeud 259 (id 259) (donnees: (431.0, 192.0))
  Noeud 338 (id 338) (donnees: (535.0, 787.0))
  Noeud 161 (id 161) (donnees: (524.0, 491.0))
  Noeud 339 (id 339) (donnees: (514.0, 762.0))
  Noeud 340 (id 340) (donnees: (514.0, 790.0))
  Noeud 267 (id 267) (donnees: (290.0, 275.0))
  Noeud 467 (id 467) (donnees: (235.0, 687.0))
  Noeud 468 (id 468) (donnees: (207.0, 718.0))
  Noeud 469 (id 469) (donnees: (214.0, 656.0))
  Noeud 162 (id 162) (donnees: (517.0, 464.0))
  Noeud 470 (id 470) (donnees: (214.0, 635.0))
  Noeud 471 (id 471) (donnees: (195.0, 625.0))
  Noeud 268 (id 268) (donnees: (260.0, 288.0))
  Noeud 472 (id 472) (donnees: (177.0, 625.0))
  Noeud 473 (id 473) (donnees: (177.0, 601.0))
  Noeud 474 (id 474) (donnees: (154.0, 611.0))
  Noeud 475 (id 475) (donnees: (177.0, 653.0))
  Noeud 37 (id 37) (donnees: (762.0, 525.0))
  Noeud 476 (id 476) (donnees: (174.0, 683.0))
  Noeud 477 (id 477) (donnees: (149.0, 666.0))
  Noeud 269 (id 269) (donnees: (260.0, 257.0))
  Noeud 478 (id 478) (donnees: (151.0, 690.0))
  Noeud 479 (id 479) (donnees: (487.0, 532.0))
  Noeud 480 (id 480) (donnees: (491.0, 560.0))
  Noeud 481 (id 481) (donnees: (500.0, 584.0))
  Noeud 164 (id 164) (donnees: (502.0, 402.0))
  Noeud 482 (id 482) (donnees: (481.0, 584.0))
