Instance;Source;Prim-DFS;Prim-BFS;Kruskal-DFS;Kruskal-BFS;Optimal;;Instance;Source;Prim-DFS;Prim-BFS;Kruskal-DFS;Kruskal-BFS;Optimal
bayg29;14;2009;3815;2129;4328;1610;;;;;;;;
bayg29;3;2059;3605;2143;4464;1610;;;;;;;;
bayg29;10;2077;3453;2126;3440;1610;;;;;;;;
bayg29;23;2097;3977;2177;3053;1610;;;;;;;;
bayg29;13;2151;3368;2170;3374;1610;;;;;;;;
bayg29;26;2196;4134;2177;3345;1610;;;;;;;;
bayg29;15;2244;3967;2260;3161;1610;;;;;;;;
bayg29;25;2254;4389;2119;2802;1610;;;;;;;;
bayg29;18;2257;4058;2145;3027;1610;;;;;;;;
bayg29;4;2269;3537;2159;3150;1610;;;;;;;;
bayg29;7;2273;3248;2130;3369;1610;;;;;;;;
bayg29;11;2281;3671;2130;4395;1610;;;;;;;;
bayg29;0;2283;3583;2119;3282;1610;;;;;;;;
bayg29;2;2318;3598;2083;2982;1610;;;;;;;;
bayg29;21;2320;4481;2179;4385;1610;;;;;;;;
bayg29;9;2321;4361;2164;2650;1610;;;;;;;;
bayg29;1;2326;3545;2143;3201;1610;;;;;;;;
bayg29;27;2329;3478;2176;3337;1610;;;;;;;;
bayg29;17;2381;3990;2179;2540;1610;;;;;;;;
bayg29;8;2397;3221;2143;3199;1610;;;;;;;;
bayg29;12;2442;4359;2260;2940;1610;;;;;;;;
bayg29;5;2454;4151;2083;4011;1610;;;;;;;;
bayg29;6;2521;3272;2235;3414;1610;;;;;;;;
bayg29;28;2526;3678;2080;2579;1610;;;;;;;;
bayg29;22;2567;3793;2224;3863;1610;;;;;;;;
bayg29;16;2577;4310;2151;3487;1610;;;;;;;;
bayg29;24;2606;3893;2139;2573;1610;;;;;;;;
bayg29;19;2618;4311;2139;3258;1610;;;;;;;;
bayg29;20;2746;4288;2189;3542;1610;;;;;;;;
bays29;0;2816;4495;2600;3746;2020;;;;;;;;
bays29;1;2725;4559;2456;3350;2020;;;;;;;;
bays29;2;2765;4493;2437;4636;2020;;;;;;;;
bays29;3;2791;4565;2456;5276;2020;;;;;;;;
bays29;4;3108;4215;2440;3271;2020;;;;;;;;
bays29;5;3062;4657;2437;3888;2020;;;;;;;;
